individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
220,Byzantion,41.0097,28.9732,Po.,Kastrikios Amphous,D039,-100,200,mystes
221,Byzantion,41.0097,28.9732,Karpos,Papa,D039,-100,200,mystes
119,Chios Ins.,38.3737,26.1374,Diophantos,Demetriou,D009,-200,-101,theoros
219,Chios Ins.,38.3737,26.1374,Numphodoros,Numphodorou,D038,-200,-1,mystes
122,Chios Ins.,38.3737,26.1374,S[um]machos,Styrakos,D009,-200,-101,proxenos
339,Chios Ins.,38.3737,26.1374,Theokritos,,D049,-200,-1,mystes
323,Chios Ins.,38.3737,26.1374,Menekrates,,D049,-200,-1,mystes
376,Chios Ins.,38.3737,26.1374,[He]sdekestos,Dioskourides,D049,-200,-1,mystes
360,Chios Ins.,38.3737,26.1374,Murmex,,D049,-200,-1,mystes
127,Chios Ins.,38.3737,26.1374,Theodoros,Amyntou,D009,-200,-101,theoros
334,Chios Ins.,38.3737,26.1374,Ourios,,D049,-200,-1,mystes
318,Chios Ins.,38.3737,26.1374,Xenon,,D049,-200,-1,mystes
371,Chios Ins.,38.3737,26.1374,[A]sklepiades,,D049,-200,-1,mystes
355,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
313,Chios Ins.,38.3737,26.1374,Nikeratos,,D049,-200,-1,mystes
382,Chios Ins.,38.3737,26.1374,Demetrios,,D049,-200,-1,epoptai
366,Chios Ins.,38.3737,26.1374,Parmeniskos,,D049,-200,-1,mystes
350,Chios Ins.,38.3737,26.1374,N[i]kias,,D049,-200,-1,epoptai
642,Chios Ins.,38.3737,26.1374,[Me]nander,,D089,19,19,mystes
308,Chios Ins.,38.3737,26.1374,Dionusios,,D049,-200,-1,mystes
125,Chios Ins.,38.3737,26.1374,Themison,Themisonos,D009,-200,-101,proxenos
345,Chios Ins.,38.3737,26.1374,Apellikon,,D049,-200,-1,mystes
329,Chios Ins.,38.3737,26.1374,Artemon,,D049,-200,-1,mystes
120,Chios Ins.,38.3737,26.1374,Nikia[s],Metr[o]nos,D009,-200,-101,proxenos
286,Chios Ins.,38.3737,26.1374,Athenaios,Dioskourides,D049,-200,-1,mystes
122,Chios Ins.,38.3737,26.1374,S[um]machos,Styrakos,D009,-200,-101,theoros
340,Chios Ins.,38.3737,26.1374,Theophanes,,D049,-200,-1,mystes
324,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
377,Chios Ins.,38.3737,26.1374,Herakleitos,,D049,-200,-1,epoptai
361,Chios Ins.,38.3737,26.1374,Dionusi[os],,D049,-200,-1,mystes
314,Chios Ins.,38.3737,26.1374,Euripides,,D049,-200,-1,mystes
128,Chios Ins.,38.3737,26.1374,Diophantos,Magedatou,D009,-200,-101,proxenos
335,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
319,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
372,Chios Ins.,38.3737,26.1374,[He]rakleon,,D049,-200,-1,mystes
356,Chios Ins.,38.3737,26.1374,[S]osistr[ato]s,,D049,-200,-1,mystes
330,Chios Ins.,38.3737,26.1374,Antipatros,,D049,-200,-1,mystes
367,Chios Ins.,38.3737,26.1374,[A]pollophanes,,D049,-200,-1,mystes
351,Chios Ins.,38.3737,26.1374,Herakleontes,,D049,-200,-1,epoptai
309,Chios Ins.,38.3737,26.1374,Philon,,D049,-200,-1,mystes
125,Chios Ins.,38.3737,26.1374,Themison,Themisonos,D009,-200,-101,theoros
346,Chios Ins.,38.3737,26.1374,Philistes,,D049,-200,-1,mystes
383,Chios Ins.,38.3737,26.1374,Andromachos,,D049,-200,-1,epoptai
120,Chios Ins.,38.3737,26.1374,Nikia[s],Metr[o]nos,D009,-200,-101,theoros
287,Chios Ins.,38.3737,26.1374,Dionusodoros,,D049,-200,-1,mystes
123,Chios Ins.,38.3737,26.1374,Mentor,Asklepiadou,D009,-200,-101,proxenos
341,Chios Ins.,38.3737,26.1374,Kraton,,D049,-200,-1,mystes
325,Chios Ins.,38.3737,26.1374,Herakleon,,D049,-200,-1,mystes
378,Chios Ins.,38.3737,26.1374,Sarapion,,D049,-200,-1,epoptai
362,Chios Ins.,38.3737,26.1374,Mantauchos,,D049,-200,-1,mystes
315,Chios Ins.,38.3737,26.1374,Dionusios,,D049,-200,-1,mystes
128,Chios Ins.,38.3737,26.1374,Diophantos,Magedatou,D009,-200,-101,theoros
336,Chios Ins.,38.3737,26.1374,Asklepiades,,D049,-200,-1,mystes
320,Chios Ins.,38.3737,26.1374,Antipatros,,D049,-200,-1,mystes
373,Chios Ins.,38.3737,26.1374,[P]raxagoras,,D049,-200,-1,mystes
357,Chios Ins.,38.3737,26.1374,Sosistratos,,D049,-200,-1,mystes
118,Chios Ins.,38.3737,26.1374,Philokrates,Timokritou,D009,-200,-101,proxenos
347,Chios Ins.,38.3737,26.1374,Theophanes,Dioskourides,D049,-200,-1,mystes
331,Chios Ins.,38.3737,26.1374,Neon,,D049,-200,-1,mystes
368,Chios Ins.,38.3737,26.1374,.OM[…..]S,,D049,-200,-1,mystes
352,Chios Ins.,38.3737,26.1374,[Su?]nethios,,D049,-200,-1,epoptai
310,Chios Ins.,38.3737,26.1374,Apollonios,,D049,-200,-1,mystes
126,Chios Ins.,38.3737,26.1374,Ariston,Gorgiou,D009,-200,-101,proxenos
384,Chios Ins.,38.3737,26.1374,Menophilos,,D049,-200,-1,epoptai
288,Chios Ins.,38.3737,26.1374,Philodemos,,D049,-200,-1,mystes
123,Chios Ins.,38.3737,26.1374,Mentor,Asklepiadou,D009,-200,-101,theoros
342,Chios Ins.,38.3737,26.1374,Nikias,,D049,-200,-1,mystes
326,Chios Ins.,38.3737,26.1374,Sosibios,,D049,-200,-1,mystes
379,Chios Ins.,38.3737,26.1374,Herakleon,,D049,-200,-1,epoptai
363,Chios Ins.,38.3737,26.1374,Herak[l…],,D049,-200,-1,mystes
316,Chios Ins.,38.3737,26.1374,Anaxidot[o]s,,D049,-200,-1,mystes
129,Chios Ins.,38.3737,26.1374,Gorgias,Aristonos,D009,-200,-101,proxenos
121,Chios Ins.,38.3737,26.1374,M[….],Antipatrou,D009,-200,-101,proxenos
337,Chios Ins.,38.3737,26.1374,Thoas,,D049,-200,-1,mystes
321,Chios Ins.,38.3737,26.1374,Demeas,,D049,-200,-1,mystes
374,Chios Ins.,38.3737,26.1374,Men[…]os,,D049,-200,-1,mystes
358,Chios Ins.,38.3737,26.1374,[Th]eudas,,D049,-200,-1,mystes
118,Chios Ins.,38.3737,26.1374,Philokrates,Timokritou,D009,-200,-101,theoros
348,Chios Ins.,38.3737,26.1374,[…..]ios,,D049,-200,-1,mystes
332,Chios Ins.,38.3737,26.1374,Angeles,,D049,-200,-1,mystes
369,Chios Ins.,38.3737,26.1374,[.]A[…..]OS,,D049,-200,-1,mystes
353,Chios Ins.,38.3737,26.1374,[A]ngeles,,D049,-200,-1,mystes
311,Chios Ins.,38.3737,26.1374,Dionusios,,D049,-200,-1,mystes
126,Chios Ins.,38.3737,26.1374,Ariston,Gorgiou,D009,-200,-101,theoros
364,Chios Ins.,38.3737,26.1374,[K]allikles,,D049,-200,-1,mystes
385,Chios Ins.,38.3737,26.1374,Theophanes,,D049,-200,-1,epoptai
